city,year,weekofyear,total_cases
sj,2008,18,8
sj,2008,19,10
sj,2008,20,11
sj,2008,21,17
sj,2008,22,13
sj,2008,23,14
sj,2008,24,6
sj,2008,25,30
sj,2008,26,12
sj,2008,27,27
sj,2008,28,23
sj,2008,29,48
sj,2008,30,16
sj,2008,31,15
sj,2008,32,33
sj,2008,33,31
sj,2008,34,16
sj,2008,35,45
sj,2008,36,57
sj,2008,37,41
sj,2008,38,42
sj,2008,39,18
sj,2008,40,18
sj,2008,41,31
sj,2008,42,26
sj,2008,43,12
sj,2008,44,41
sj,2008,45,10
sj,2008,46,24
sj,2008,47,18
sj,2008,48,16
sj,2008,49,20
sj,2008,50,18
sj,2008,51,11
sj,2008,52,6
sj,2009,1,12
sj,2009,2,4
sj,2009,3,21
sj,2009,4,9
sj,2009,5,23
sj,2009,6,8
sj,2009,7,20
sj,2009,8,12
sj,2009,9,10
sj,2009,10,9
sj,2009,11,17
sj,2009,12,9
sj,2009,13,6
sj,2009,14,15
sj,2009,15,12
sj,2009,16,7
sj,2009,17,9
sj,2009,18,18
sj,2009,19,12
sj,2009,20,18
sj,2009,21,19
sj,2009,22,10
sj,2009,23,12
sj,2009,24,15
sj,2009,25,13
sj,2009,26,14
sj,2009,27,18
sj,2009,28,23
sj,2009,29,28
sj,2009,30,27
sj,2009,31,27
sj,2009,32,35
sj,2009,33,25
sj,2009,34,20
sj,2009,35,37
sj,2009,36,33
sj,2009,37,27
sj,2009,38,21
sj,2009,39,22
sj,2009,40,52
sj,2009,41,38
sj,2009,42,36
sj,2009,43,13
sj,2009,44,12
sj,2009,45,3
sj,2009,46,22
sj,2009,47,18
sj,2009,48,12
sj,2009,49,14
sj,2009,50,16
sj,2009,51,22
sj,2009,52,13
sj,2010,53,13
sj,2010,1,12
sj,2010,2,11
sj,2010,3,19
sj,2010,4,10
sj,2010,5,24
sj,2010,6,12
sj,2010,7,10
sj,2010,8,12
sj,2010,9,18
sj,2010,10,24
sj,2010,11,12
sj,2010,12,14
sj,2010,13,9
sj,2010,14,11
sj,2010,15,9
sj,2010,16,12
sj,2010,17,10
sj,2010,18,14
sj,2010,19,10
sj,2010,20,21
sj,2010,21,18
sj,2010,22,34
sj,2010,23,43
sj,2010,24,36
sj,2010,25,24
sj,2010,26,26
sj,2010,27,50
sj,2010,28,51
sj,2010,29,20
sj,2010,30,26
sj,2010,31,47
sj,2010,32,58
sj,2010,33,50
sj,2010,34,55
sj,2010,35,63
sj,2010,36,51
sj,2010,37,45
sj,2010,38,29
sj,2010,39,27
sj,2010,40,25
sj,2010,41,43
sj,2010,42,36
sj,2010,43,24
sj,2010,44,18
sj,2010,45,26
sj,2010,46,12
sj,2010,47,24
sj,2010,48,23
sj,2010,49,13
sj,2010,50,8
sj,2010,51,6
sj,2011,52,12
sj,2011,1,11
sj,2011,2,18
sj,2011,3,13
sj,2011,4,15
sj,2011,5,18
sj,2011,6,13
sj,2011,7,8
sj,2011,8,14
sj,2011,9,13
sj,2011,10,4
sj,2011,11,8
sj,2011,12,16
sj,2011,13,14
sj,2011,14,19
sj,2011,15,15
sj,2011,16,18
sj,2011,17,6
sj,2011,18,22
sj,2011,19,15
sj,2011,20,30
sj,2011,21,38
sj,2011,22,21
sj,2011,23,36
sj,2011,24,41
sj,2011,25,46
sj,2011,26,24
