city,year,weekofyear,total_cases
sj,2008,18,15
sj,2008,19,9
sj,2008,20,18
sj,2008,21,10
sj,2008,22,32
sj,2008,23,40
sj,2008,24,24
sj,2008,25,19
sj,2008,26,21
sj,2008,27,31
sj,2008,28,21
sj,2008,29,43
sj,2008,30,13
sj,2008,31,28
sj,2008,32,33
sj,2008,33,25
sj,2008,34,27
sj,2008,35,26
sj,2008,36,48
sj,2008,37,25
sj,2008,38,61
sj,2008,39,56
sj,2008,40,36
sj,2008,41,65
sj,2008,42,52
sj,2008,43,28
sj,2008,44,16
sj,2008,45,32
sj,2008,46,69
sj,2008,47,17
sj,2008,48,33
sj,2008,49,18
sj,2008,50,19
sj,2008,51,14
sj,2008,52,17
sj,2009,1,20
sj,2009,2,13
sj,2009,3,33
sj,2009,4,34
sj,2009,5,28
sj,2009,6,12
sj,2009,7,26
sj,2009,8,12
sj,2009,9,18
sj,2009,10,8
sj,2009,11,16
sj,2009,12,22
sj,2009,13,10
sj,2009,14,29
sj,2009,15,10
sj,2009,16,7
sj,2009,17,15
sj,2009,18,26
sj,2009,19,14
sj,2009,20,33
sj,2009,21,20
sj,2009,22,28
sj,2009,23,33
sj,2009,24,32
sj,2009,25,55
sj,2009,26,37
sj,2009,27,29
sj,2009,28,41
sj,2009,29,66
sj,2009,30,71
sj,2009,31,24
sj,2009,32,38
sj,2009,33,29
sj,2009,34,28
sj,2009,35,65
sj,2009,36,31
sj,2009,37,23
sj,2009,38,40
sj,2009,39,48
sj,2009,40,87
sj,2009,41,20
sj,2009,42,34
sj,2009,43,14
sj,2009,44,13
sj,2009,45,24
sj,2009,46,16
sj,2009,47,63
sj,2009,48,18
sj,2009,49,31
sj,2009,50,31
sj,2009,51,21
sj,2009,52,10
sj,2010,53,10
sj,2010,1,11
sj,2010,2,22
sj,2010,3,38
sj,2010,4,27
sj,2010,5,32
sj,2010,6,14
sj,2010,7,16
sj,2010,8,13
sj,2010,9,12
sj,2010,10,15
sj,2010,11,21
sj,2010,12,15
sj,2010,13,13
sj,2010,14,17
sj,2010,15,27
sj,2010,16,32
sj,2010,17,18
sj,2010,18,39
sj,2010,19,67
sj,2010,20,32
sj,2010,21,18
sj,2010,22,24
sj,2010,23,46
sj,2010,24,59
sj,2010,25,44
sj,2010,26,34
sj,2010,27,33
sj,2010,28,50
sj,2010,29,28
sj,2010,30,28
sj,2010,31,31
sj,2010,32,32
sj,2010,33,47
sj,2010,34,72
sj,2010,35,36
sj,2010,36,26
sj,2010,37,35
sj,2010,38,42
sj,2010,39,23
sj,2010,40,28
sj,2010,41,28
