city,year,weekofyear,total_cases
sj,2008,18,10
sj,2008,19,14
sj,2008,20,5
sj,2008,21,-2
sj,2008,22,9
sj,2008,23,5
sj,2008,24,9
sj,2008,25,12
sj,2008,26,15
sj,2008,27,17
sj,2008,28,17
sj,2008,29,9
sj,2008,30,23
sj,2008,31,12
sj,2008,32,23
sj,2008,33,24
sj,2008,34,19
sj,2008,35,27
sj,2008,36,25
sj,2008,37,39
sj,2008,38,28
sj,2008,39,21
sj,2008,40,25
sj,2008,41,21
sj,2008,42,26
sj,2008,43,22
sj,2008,44,15
sj,2008,45,27
sj,2008,46,21
sj,2008,47,23
sj,2008,48,20
sj,2008,49,16
sj,2008,50,15
sj,2008,51,12
sj,2008,52,11
sj,2009,1,15
sj,2009,2,10
sj,2009,3,13
sj,2009,4,12
sj,2009,5,13
sj,2009,6,10
sj,2009,7,14
sj,2009,8,15
sj,2009,9,13
sj,2009,10,6
sj,2009,11,14
sj,2009,12,2
sj,2009,13,3
sj,2009,14,9
sj,2009,15,4
sj,2009,16,3
sj,2009,17,5
sj,2009,18,10
sj,2009,19,4
sj,2009,20,16
sj,2009,21,14
sj,2009,22,16
sj,2009,23,11
sj,2009,24,15
sj,2009,25,16
sj,2009,26,13
sj,2009,27,2
sj,2009,28,12
sj,2009,29,12
sj,2009,30,13
sj,2009,31,15
sj,2009,32,13
sj,2009,33,23
sj,2009,34,14
sj,2009,35,22
sj,2009,36,17
sj,2009,37,21
sj,2009,38,12
sj,2009,39,16
sj,2009,40,20
sj,2009,41,24
sj,2009,42,19
sj,2009,43,21
sj,2009,44,13
sj,2009,45,9
sj,2009,46,11
sj,2009,47,20
sj,2009,48,18
sj,2009,49,22
sj,2009,50,19
sj,2009,51,22
sj,2009,52,15
sj,2010,53,15
sj,2010,1,19
sj,2010,2,19
sj,2010,3,19
sj,2010,4,19
sj,2010,5,19
sj,2010,6,12
sj,2010,7,12
sj,2010,8,20
sj,2010,9,9
sj,2010,10,24
sj,2010,11,22
sj,2010,12,13
sj,2010,13,8
sj,2010,14,14
sj,2010,15,10
sj,2010,16,22
sj,2010,17,18
sj,2010,18,13
